512010 医药ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,0.428,0.428,0.426,0.428,34501100,14738021.00
2023/07/06,0940,0.428,0.428,0.426,0.426,24324000,10381781.00
2023/07/06,0945,0.427,0.427,0.425,0.425,42985400,18306578.00
2023/07/06,0950,0.426,0.427,0.425,0.427,35497000,15124663.00
2023/07/06,0955,0.427,0.427,0.426,0.426,22457000,9567851.00
2023/07/06,1000,0.426,0.427,0.426,0.426,43184500,18437512.00
2023/07/06,1005,0.426,0.428,0.426,0.427,22234800,9492694.00
2023/07/06,1010,0.426,0.428,0.426,0.428,10837600,4628564.00
2023/07/06,1015,0.428,0.428,0.427,0.427,9071900,3873963.00
2023/07/06,1020,0.427,0.427,0.426,0.427,10993100,4691348.00
2023/07/06,1025,0.427,0.427,0.426,0.427,6130700,2612380.00
2023/07/06,1030,0.426,0.427,0.426,0.427,5597800,2386041.00
2023/07/06,1035,0.427,0.427,0.426,0.426,5120800,2182735.00
2023/07/06,1040,0.426,0.427,0.425,0.426,47679200,20310096.00
2023/07/06,1045,0.426,0.426,0.425,0.425,29904400,12711774.00
2023/07/06,1050,0.425,0.425,0.424,0.425,50869500,21614594.00
2023/07/06,1055,0.424,0.425,0.424,0.425,5873700,2493663.00
2023/07/06,1100,0.424,0.425,0.424,0.425,4803600,2038506.00
2023/07/06,1105,0.425,0.425,0.424,0.424,6404400,2717484.00
2023/07/06,1110,0.425,0.425,0.424,0.424,23369300,9911405.00
2023/07/06,1115,0.425,0.425,0.423,0.424,57660000,24445742.00
2023/07/06,1120,0.424,0.424,0.423,0.423,4573400,1935266.00
2023/07/06,1125,0.423,0.424,0.423,0.424,15482000,6549954.00
2023/07/06,1130,0.424,0.424,0.422,0.422,101808600,43020344.00
2023/07/06,1305,0.423,0.423,0.422,0.423,22627600,9561845.00
2023/07/06,1310,0.423,0.423,0.422,0.423,23335100,9867526.00
2023/07/06,1315,0.423,0.423,0.422,0.423,28338300,11985264.00
2023/07/06,1320,0.423,0.424,0.422,0.423,67317100,28493660.00
2023/07/06,1325,0.423,0.423,0.422,0.423,68321500,28896248.00
2023/07/06,1330,0.423,0.423,0.421,0.422,117004600,49379092.00
2023/07/06,1335,0.422,0.423,0.421,0.422,22259900,9396027.00
2023/07/06,1340,0.422,0.422,0.421,0.422,9738500,4107846.00
2023/07/06,1345,0.422,0.422,0.421,0.421,4762100,2007798.00
2023/07/06,1350,0.421,0.422,0.421,0.422,6200700,2611968.00
2023/07/06,1355,0.422,0.422,0.421,0.422,6113000,2575990.00
2023/07/06,1400,0.422,0.422,0.421,0.422,10829600,4567722.00
2023/07/06,1405,0.422,0.422,0.421,0.422,24028200,10138364.00
2023/07/06,1410,0.422,0.423,0.422,0.423,19432000,8200861.00
2023/07/06,1415,0.422,0.423,0.421,0.422,31390000,13242522.00
2023/07/06,1420,0.422,0.422,0.421,0.422,17897700,7542025.00
2023/07/06,1425,0.422,0.422,0.421,0.422,26956600,11352259.00
2023/07/06,1430,0.422,0.422,0.421,0.422,8403900,3544639.00
2023/07/06,1435,0.422,0.422,0.421,0.422,8069900,3403608.00
2023/07/06,1440,0.422,0.422,0.421,0.422,8566900,3611339.00
2023/07/06,1445,0.421,0.422,0.421,0.422,11304700,4766437.00
2023/07/06,1450,0.422,0.422,0.421,0.422,18815300,7935923.00
2023/07/06,1455,0.422,0.422,0.421,0.421,25914200,10933347.00
2023/07/06,1500,0.421,0.422,0.421,0.422,43872100,18508892.00
2023/07/07,0935,0.421,0.422,0.420,0.422,36644600,15429594.00
2023/07/07,0940,0.422,0.423,0.422,0.423,73115000,30860768.00
2023/07/07,0945,0.423,0.423,0.422,0.422,43939000,18563100.00
2023/07/07,0950,0.422,0.422,0.421,0.421,50352300,21203060.00
2023/07/07,0955,0.421,0.422,0.420,0.422,29120500,12257530.00
2023/07/07,1000,0.422,0.422,0.421,0.422,41480400,17499632.00
2023/07/07,1005,0.422,0.422,0.421,0.421,5820500,2452272.00
2023/07/07,1010,0.422,0.422,0.421,0.422,5821100,2454618.00
2023/07/07,1015,0.422,0.423,0.421,0.422,26263900,11081945.00
2023/07/07,1020,0.422,0.423,0.422,0.422,26412100,11157646.00
2023/07/07,1025,0.423,0.424,0.422,0.423,41818100,17689520.00
2023/07/07,1030,0.423,0.423,0.422,0.423,4512600,1907733.00
2023/07/07,1035,0.423,0.423,0.422,0.422,3312100,1400052.00
2023/07/07,1040,0.422,0.423,0.421,0.421,38525500,16258178.00
2023/07/07,1045,0.422,0.422,0.421,0.422,1494100,630126.00
2023/07/07,1050,0.422,0.422,0.421,0.422,1626100,684900.00
2023/07/07,1055,0.421,0.422,0.421,0.422,3900700,1643257.00
2023/07/07,1100,0.421,0.422,0.421,0.422,1028500,433350.00
2023/07/07,1105,0.422,0.422,0.421,0.422,630500,265980.00
2023/07/07,1110,0.422,0.422,0.421,0.421,2016600,850591.00
2023/07/07,1115,0.422,0.422,0.421,0.422,3833100,1616545.00
2023/07/07,1120,0.422,0.422,0.421,0.421,1663700,701728.00
2023/07/07,1125,0.422,0.422,0.420,0.421,73566000,30971348.00
2023/07/07,1130,0.421,0.421,0.420,0.421,1770900,744875.00
2023/07/07,1305,0.421,0.421,0.420,0.420,8060800,3392871.00
2023/07/07,1310,0.421,0.422,0.420,0.422,47319200,19920560.00
2023/07/07,1315,0.421,0.423,0.421,0.422,62816400,26502004.00
2023/07/07,1320,0.423,0.423,0.421,0.422,23390300,9874446.00
2023/07/07,1325,0.422,0.423,0.421,0.423,71773700,30290666.00
2023/07/07,1330,0.423,0.423,0.422,0.422,34408900,14528663.00
2023/07/07,1335,0.422,0.423,0.421,0.422,37729400,15920282.00
2023/07/07,1340,0.423,0.423,0.422,0.423,23734100,10018858.00
2023/07/07,1345,0.423,0.423,0.422,0.423,13986900,5915295.00
2023/07/07,1350,0.423,0.423,0.422,0.422,55919700,23605428.00
2023/07/07,1355,0.422,0.423,0.421,0.422,34399900,14516576.00
2023/07/07,1400,0.422,0.422,0.421,0.422,47816000,20177560.00
2023/07/07,1405,0.422,0.422,0.421,0.421,7141300,3008146.00
2023/07/07,1410,0.421,0.422,0.421,0.422,3721900,1568302.00
2023/07/07,1415,0.422,0.422,0.421,0.422,1556800,656897.00
2023/07/07,1420,0.422,0.422,0.421,0.422,1759200,741599.00
2023/07/07,1425,0.422,0.422,0.421,0.421,1002500,422472.00
2023/07/07,1430,0.422,0.422,0.421,0.422,1064400,448881.00
2023/07/07,1435,0.422,0.422,0.421,0.422,11559300,4872743.00
2023/07/07,1440,0.422,0.422,0.421,0.422,5056600,2133712.00
2023/07/07,1445,0.421,0.422,0.421,0.422,4734300,1997321.00
2023/07/07,1450,0.421,0.422,0.421,0.422,5747300,2421870.00
2023/07/07,1455,0.422,0.422,0.421,0.421,8802900,3712260.00
2023/07/07,1500,0.422,0.422,0.421,0.421,63565200,26789142.00
2023/07/10,0935,0.423,0.425,0.422,0.424,105077600,44502744.00
2023/07/10,0940,0.424,0.425,0.423,0.424,64263800,27251608.00
2023/07/10,0945,0.424,0.424,0.423,0.424,14849900,6293322.00
2023/07/10,0950,0.424,0.426,0.423,0.425,129251700,54890040.00
2023/07/10,0955,0.424,0.426,0.424,0.424,24011300,10204192.00
2023/07/10,1000,0.425,0.426,0.424,0.426,13356900,5676701.00
2023/07/10,1005,0.426,0.427,0.425,0.426,82339500,35084484.00
2023/07/10,1010,0.426,0.429,0.426,0.428,134961400,57712608.00
2023/07/10,1015,0.427,0.428,0.427,0.427,7678100,3280076.00
2023/07/10,1020,0.427,0.429,0.426,0.426,82485900,35281720.00
2023/07/10,1025,0.427,0.427,0.426,0.427,19037500,8128068.00
2023/07/10,1030,0.427,0.428,0.426,0.427,91167500,38930352.00
2023/07/10,1035,0.428,0.428,0.426,0.428,27497400,11742257.00
2023/07/10,1040,0.427,0.428,0.427,0.427,4075400,1742033.00
2023/07/10,1045,0.427,0.428,0.426,0.426,20678300,8822422.00
2023/07/10,1050,0.426,0.427,0.426,0.426,7438700,3169181.00
2023/07/10,1055,0.427,0.427,0.426,0.426,6246600,2661336.00
2023/07/10,1100,0.427,0.427,0.426,0.427,4779900,2036786.00
2023/07/10,1105,0.426,0.427,0.426,0.427,4843600,2063886.00
2023/07/10,1110,0.426,0.427,0.426,0.427,8289000,3533991.00
2023/07/10,1115,0.426,0.427,0.425,0.425,89229500,38007748.00
2023/07/10,1120,0.425,0.426,0.425,0.426,7773800,3303909.00
2023/07/10,1125,0.426,0.426,0.424,0.425,37873800,16095410.00
2023/07/10,1130,0.425,0.425,0.424,0.425,11377700,4831666.00
2023/07/10,1305,0.424,0.425,0.424,0.424,26160900,11096924.00
2023/07/10,1310,0.424,0.425,0.423,0.424,36639800,15532524.00
2023/07/10,1315,0.424,0.424,0.423,0.423,5183300,2193040.00
2023/07/10,1320,0.424,0.424,0.423,0.424,4849800,2051918.00
2023/07/10,1325,0.423,0.424,0.423,0.423,6247200,2643614.00
2023/07/10,1330,0.424,0.424,0.423,0.423,5445600,2304164.00
2023/07/10,1335,0.424,0.424,0.423,0.424,6027000,2550078.00
2023/07/10,1340,0.423,0.424,0.423,0.424,4843500,2049978.00
2023/07/10,1345,0.424,0.424,0.423,0.423,7003900,2964806.00
2023/07/10,1350,0.424,0.424,0.423,0.424,3661300,1549101.00
2023/07/10,1355,0.424,0.424,0.423,0.424,5176000,2190373.00
2023/07/10,1400,0.424,0.424,0.423,0.423,5956300,2520321.00
2023/07/10,1405,0.424,0.424,0.423,0.424,20570400,8701801.00
2023/07/10,1410,0.423,0.424,0.423,0.424,5939400,2513803.00
2023/07/10,1415,0.424,0.424,0.423,0.424,7554900,3199233.00
2023/07/10,1420,0.424,0.424,0.423,0.423,8158100,3455350.00
2023/07/10,1425,0.424,0.424,0.423,0.423,6213900,2629887.00
2023/07/10,1430,0.424,0.424,0.423,0.424,16750600,7087212.00
2023/07/10,1435,0.424,0.424,0.423,0.424,9370100,3964830.00
2023/07/10,1440,0.424,0.424,0.423,0.423,5166200,2185959.00
2023/07/10,1445,0.424,0.424,0.423,0.423,7124200,3015519.00
2023/07/10,1450,0.424,0.424,0.423,0.423,7683100,3252035.00
2023/07/10,1455,0.424,0.424,0.423,0.424,11355300,4808222.00
2023/07/10,1500,0.424,0.424,0.423,0.423,33354000,14125905.00
2023/07/11,0935,0.425,0.426,0.424,0.425,46984100,19969352.00
2023/07/11,0940,0.425,0.426,0.424,0.424,12960100,5507886.00
2023/07/11,0945,0.425,0.427,0.424,0.425,81314900,34617600.00
2023/07/11,0950,0.426,0.426,0.424,0.424,37268900,15853758.00
2023/07/11,0955,0.425,0.425,0.424,0.425,16896700,7180768.00
2023/07/11,1000,0.425,0.425,0.424,0.425,3497700,1485035.00
2023/07/11,1005,0.425,0.425,0.423,0.424,44817000,18999012.00
2023/07/11,1010,0.423,0.424,0.423,0.424,13301300,5629138.00
2023/07/11,1015,0.424,0.424,0.422,0.424,49885000,21102236.00
2023/07/11,1020,0.424,0.424,0.422,0.423,18968900,8024064.00
2023/07/11,1025,0.423,0.423,0.422,0.423,3103300,1311786.00
2023/07/11,1030,0.423,0.423,0.422,0.423,4270300,1802861.00
2023/07/11,1035,0.423,0.424,0.422,0.424,21209300,8974223.00
2023/07/11,1040,0.424,0.425,0.423,0.424,21205700,8990934.00
2023/07/11,1045,0.425,0.425,0.424,0.425,1685400,715528.00
2023/07/11,1050,0.425,0.425,0.424,0.425,10117200,4291778.00
2023/07/11,1055,0.425,0.426,0.424,0.426,41099900,17471276.00
2023/07/11,1100,0.426,0.427,0.425,0.425,79917700,34045104.00
2023/07/11,1105,0.426,0.426,0.425,0.426,25294900,10768059.00
2023/07/11,1110,0.425,0.426,0.425,0.426,2276300,968906.00
2023/07/11,1115,0.426,0.426,0.425,0.426,4913200,2092499.00
2023/07/11,1120,0.425,0.426,0.425,0.426,1626700,691978.00
2023/07/11,1125,0.426,0.427,0.425,0.426,30834200,13137768.00
2023/07/11,1130,0.427,0.427,0.426,0.426,3419100,1459641.00
2023/07/11,1305,0.426,0.427,0.426,0.427,5030200,2146861.00
2023/07/11,1310,0.427,0.427,0.426,0.427,10340400,4405584.00
2023/07/11,1315,0.427,0.427,0.425,0.426,52578800,22397280.00
2023/07/11,1320,0.426,0.426,0.425,0.426,1532500,651641.00
2023/07/11,1325,0.426,0.426,0.424,0.426,41366000,17580736.00
2023/07/11,1330,0.425,0.426,0.425,0.426,1037800,441652.00
2023/07/11,1335,0.426,0.426,0.425,0.426,1786400,759707.00
2023/07/11,1340,0.426,0.426,0.425,0.426,11752200,4999213.00
2023/07/11,1345,0.425,0.426,0.425,0.426,13290000,5654858.00
2023/07/11,1350,0.425,0.426,0.425,0.425,15743100,6698726.00
2023/07/11,1355,0.425,0.426,0.425,0.426,15633800,6653055.00
2023/07/11,1400,0.425,0.426,0.425,0.426,12766700,5432071.00
2023/07/11,1405,0.426,0.427,0.425,0.426,50189800,21376130.00
2023/07/11,1410,0.426,0.427,0.426,0.427,17006100,7249520.00
2023/07/11,1415,0.426,0.427,0.426,0.427,14703100,6271821.00
2023/07/11,1420,0.427,0.427,0.426,0.426,19229200,8210284.00
2023/07/11,1425,0.427,0.427,0.426,0.427,16195000,6911560.00
2023/07/11,1430,0.427,0.427,0.426,0.426,3425100,1460748.00
2023/07/11,1435,0.427,0.427,0.426,0.427,15584300,6653689.00
2023/07/11,1440,0.426,0.427,0.426,0.427,5810400,2480589.00
2023/07/11,1445,0.427,0.427,0.426,0.426,6592600,2812873.00
2023/07/11,1450,0.427,0.427,0.426,0.427,40133900,17126992.00
2023/07/11,1455,0.427,0.427,0.426,0.426,6662800,2843311.00
2023/07/11,1500,0.427,0.427,0.426,0.427,26766100,11426362.00
2023/07/12,0935,0.427,0.428,0.426,0.427,28645200,12225058.00
2023/07/12,0940,0.427,0.427,0.426,0.426,36130700,15401365.00
2023/07/12,0945,0.426,0.427,0.425,0.427,31236600,13307704.00
2023/07/12,0950,0.427,0.428,0.426,0.427,37567300,16046049.00
2023/07/12,0955,0.427,0.428,0.426,0.427,28509600,12173765.00
2023/07/12,1000,0.427,0.428,0.427,0.427,21662200,9252926.00
2023/07/12,1005,0.427,0.427,0.426,0.427,4407200,1881121.00
2023/07/12,1010,0.426,0.427,0.426,0.426,9206300,3924680.00
2023/07/12,1015,0.427,0.427,0.426,0.426,1811600,772223.00
2023/07/12,1020,0.427,0.428,0.426,0.428,34753400,14839922.00
2023/07/12,1025,0.428,0.428,0.427,0.428,82782800,35427720.00
2023/07/12,1030,0.428,0.428,0.427,0.427,5952000,2546531.00
2023/07/12,1035,0.428,0.428,0.427,0.428,2665700,1138672.00
2023/07/12,1040,0.428,0.428,0.427,0.427,5620200,2400529.00
2023/07/12,1045,0.428,0.428,0.426,0.426,61819100,26397060.00
2023/07/12,1050,0.427,0.427,0.426,0.427,1285200,548379.00
2023/07/12,1055,0.427,0.427,0.426,0.427,1729800,738398.00
2023/07/12,1100,0.426,0.427,0.426,0.427,23280300,9937651.00
2023/07/12,1105,0.427,0.428,0.426,0.427,8566400,3657424.00
2023/07/12,1110,0.427,0.427,0.426,0.427,1114200,475063.00
2023/07/12,1115,0.427,0.427,0.426,0.427,15801100,6744833.00
2023/07/12,1120,0.427,0.428,0.426,0.428,11251300,4803712.00
2023/07/12,1125,0.428,0.428,0.427,0.427,1313400,561201.00
2023/07/12,1130,0.428,0.428,0.427,0.428,2836900,1211607.00
2023/07/12,1305,0.428,0.428,0.427,0.428,22299200,9525651.00
2023/07/12,1310,0.428,0.428,0.427,0.427,6078700,2596119.00
2023/07/12,1315,0.427,0.428,0.427,0.427,5102500,2180040.00
2023/07/12,1320,0.427,0.428,0.426,0.426,9968900,4256899.00
2023/07/12,1325,0.426,0.427,0.426,0.426,2385300,1017031.00
2023/07/12,1330,0.426,0.427,0.426,0.427,5432600,2314643.00
2023/07/12,1335,0.426,0.426,0.425,0.425,74731100,31830296.00
2023/07/12,1340,0.426,0.426,0.425,0.426,6176600,2626791.00
2023/07/12,1345,0.425,0.426,0.425,0.425,8837400,3757358.00
2023/07/12,1350,0.425,0.426,0.425,0.426,3890200,1654343.00
2023/07/12,1355,0.425,0.426,0.425,0.426,7193900,3062187.00
2023/07/12,1400,0.425,0.426,0.425,0.426,7144300,3040626.00
2023/07/12,1405,0.426,0.426,0.425,0.426,4525600,1925464.00
2023/07/12,1410,0.426,0.426,0.425,0.426,3077600,1309161.00
2023/07/12,1415,0.426,0.426,0.425,0.425,1741600,740770.00
2023/07/12,1420,0.426,0.426,0.425,0.426,2093500,890462.00
2023/07/12,1425,0.425,0.426,0.425,0.425,3895400,1657281.00
2023/07/12,1430,0.426,0.426,0.425,0.425,14335200,6092674.00
2023/07/12,1435,0.426,0.426,0.424,0.425,54924000,23342016.00
2023/07/12,1440,0.425,0.425,0.424,0.425,7096600,3010369.00
2023/07/12,1445,0.425,0.425,0.424,0.425,4861700,2062799.00
2023/07/12,1450,0.425,0.425,0.424,0.424,14080600,5973009.00
2023/07/12,1455,0.425,0.425,0.424,0.425,9464000,4016417.00
2023/07/12,1500,0.425,0.425,0.424,0.425,51650200,21915168.00
2023/07/13,0935,0.426,0.429,0.425,0.428,156070400,66773428.00
2023/07/13,0940,0.429,0.430,0.427,0.428,85814700,36793104.00
2023/07/13,0945,0.428,0.429,0.427,0.428,45849400,19633424.00
2023/07/13,0950,0.428,0.429,0.427,0.429,35215600,15079277.00
2023/07/13,0955,0.429,0.430,0.428,0.429,78164000,33554290.00
2023/07/13,1000,0.429,0.431,0.429,0.429,113042400,48604048.00
2023/07/13,1005,0.430,0.431,0.429,0.431,73582200,31648516.00
2023/07/13,1010,0.430,0.432,0.429,0.432,148336900,63869116.00
2023/07/13,1015,0.432,0.432,0.430,0.432,42134400,18162140.00
2023/07/13,1020,0.432,0.432,0.431,0.431,23900000,10304274.00
2023/07/13,1025,0.431,0.433,0.431,0.431,80688300,34852308.00
2023/07/13,1030,0.431,0.432,0.430,0.431,27394900,11807168.00
2023/07/13,1035,0.431,0.431,0.430,0.430,18718900,8065632.00
2023/07/13,1040,0.431,0.432,0.430,0.431,11696000,5042270.00
2023/07/13,1045,0.432,0.432,0.431,0.431,6162600,2658695.00
2023/07/13,1050,0.432,0.433,0.431,0.432,95728800,41386308.00
2023/07/13,1055,0.433,0.434,0.432,0.433,64942200,28108480.00
2023/07/13,1100,0.432,0.433,0.432,0.433,42134000,18206860.00
2023/07/13,1105,0.433,0.434,0.432,0.433,36253800,15697077.00
2023/07/13,1110,0.432,0.433,0.432,0.432,14142000,6110652.00
2023/07/13,1115,0.432,0.433,0.431,0.432,16224000,7007963.00
2023/07/13,1120,0.432,0.433,0.432,0.433,6057700,2621085.00
2023/07/13,1125,0.432,0.433,0.432,0.433,6539600,2830502.00
2023/07/13,1130,0.433,0.433,0.432,0.433,5789100,2505347.00
2023/07/13,1305,0.432,0.433,0.432,0.433,8905800,3854455.00
2023/07/13,1310,0.432,0.434,0.432,0.433,48735600,21105484.00
2023/07/13,1315,0.433,0.434,0.432,0.433,33249700,14399582.00
2023/07/13,1320,0.433,0.434,0.432,0.432,9249200,4004951.00
2023/07/13,1325,0.432,0.433,0.432,0.433,4371300,1892024.00
2023/07/13,1330,0.433,0.433,0.432,0.433,13943400,6036344.00
2023/07/13,1335,0.432,0.433,0.432,0.432,4064400,1758929.00
2023/07/13,1340,0.433,0.433,0.432,0.433,3641900,1576433.00
2023/07/13,1345,0.432,0.433,0.432,0.433,9133200,3953487.00
2023/07/13,1350,0.432,0.433,0.432,0.433,19271000,8343864.00
2023/07/13,1355,0.433,0.434,0.432,0.433,11365700,4921335.00
2023/07/13,1400,0.433,0.434,0.432,0.433,11362000,4920315.00
2023/07/13,1405,0.433,0.433,0.432,0.433,3379100,1461174.00
2023/07/13,1410,0.433,0.434,0.432,0.433,21247200,9197793.00
2023/07/13,1415,0.434,0.434,0.432,0.433,11265900,4878020.00
2023/07/13,1420,0.432,0.434,0.432,0.433,14132500,6119000.00
2023/07/13,1425,0.433,0.434,0.433,0.433,7686500,3329385.00
2023/07/13,1430,0.433,0.434,0.432,0.433,14349000,6213155.00
2023/07/13,1435,0.434,0.434,0.432,0.432,6087100,2634033.00
2023/07/13,1440,0.432,0.433,0.432,0.432,5088300,2199945.00
2023/07/13,1445,0.432,0.433,0.432,0.433,4766700,2061100.00
2023/07/13,1450,0.433,0.433,0.432,0.433,6440600,2785620.00
2023/07/13,1455,0.433,0.433,0.432,0.432,15792100,6826492.00
2023/07/13,1500,0.432,0.433,0.432,0.433,40434500,17494508.00
2023/07/14,0935,0.433,0.434,0.432,0.433,104589300,45259900.00
2023/07/14,0940,0.433,0.433,0.431,0.432,41373700,17875584.00
2023/07/14,0945,0.433,0.433,0.431,0.432,81090800,34981648.00
2023/07/14,0950,0.432,0.432,0.431,0.432,43561400,18777900.00
2023/07/14,0955,0.432,0.432,0.430,0.431,53898600,23230380.00
2023/07/14,1000,0.431,0.432,0.431,0.431,11991700,5175051.00
2023/07/14,1005,0.432,0.432,0.431,0.432,6993000,3015356.00
2023/07/14,1010,0.432,0.432,0.431,0.432,16063800,6924061.00
2023/07/14,1015,0.431,0.432,0.431,0.432,2937900,1267963.00
2023/07/14,1020,0.432,0.432,0.431,0.432,3964100,1711203.00
2023/07/14,1025,0.431,0.433,0.431,0.433,47453700,20500060.00
2023/07/14,1030,0.433,0.433,0.431,0.431,10869000,4695460.00
2023/07/14,1035,0.432,0.432,0.431,0.431,1437900,620728.00
2023/07/14,1040,0.432,0.432,0.431,0.432,7245600,3129336.00
2023/07/14,1045,0.432,0.432,0.431,0.432,9384300,4051986.00
2023/07/14,1050,0.432,0.432,0.431,0.431,2746100,1184449.00
2023/07/14,1055,0.431,0.432,0.431,0.432,1719900,742130.00
2023/07/14,1100,0.432,0.432,0.431,0.432,3628700,1565218.00
2023/07/14,1105,0.432,0.432,0.431,0.431,3021300,1302568.00
2023/07/14,1110,0.431,0.432,0.431,0.432,3175500,1369173.00
2023/07/14,1115,0.432,0.432,0.431,0.432,1919000,827357.00
2023/07/14,1120,0.432,0.432,0.431,0.432,3359800,1448989.00
2023/07/14,1125,0.431,0.432,0.431,0.432,2611100,1126667.00
2023/07/14,1130,0.432,0.432,0.431,0.432,5810700,2508095.00
2023/07/14,1305,0.432,0.432,0.431,0.432,16089800,6950044.00
2023/07/14,1310,0.431,0.433,0.431,0.433,37655700,16267442.00
2023/07/14,1315,0.432,0.433,0.432,0.433,13662000,5913702.00
2023/07/14,1320,0.433,0.433,0.431,0.432,66414500,28706340.00
2023/07/14,1325,0.432,0.432,0.431,0.432,21869300,9447281.00
2023/07/14,1330,0.432,0.432,0.431,0.432,17318500,7477730.00
2023/07/14,1335,0.432,0.432,0.431,0.432,59848000,25852970.00
2023/07/14,1340,0.432,0.433,0.431,0.431,17727400,7658363.00
2023/07/14,1345,0.432,0.432,0.431,0.432,2484000,1071785.00
2023/07/14,1350,0.432,0.432,0.431,0.432,1301000,561553.00
2023/07/14,1355,0.432,0.432,0.431,0.431,4027500,1737436.00
2023/07/14,1400,0.432,0.432,0.431,0.432,1942200,838408.00
2023/07/14,1405,0.432,0.432,0.431,0.432,19074300,8239622.00
2023/07/14,1410,0.432,0.432,0.431,0.431,3626300,1564383.00
2023/07/14,1415,0.432,0.432,0.431,0.432,1615600,697222.00
2023/07/14,1420,0.432,0.432,0.431,0.432,1223200,528247.00
2023/07/14,1425,0.432,0.432,0.431,0.431,720000,310705.00
2023/07/14,1430,0.432,0.432,0.431,0.432,1582500,682720.00
2023/07/14,1435,0.432,0.432,0.431,0.432,5162900,2226922.00
2023/07/14,1440,0.432,0.432,0.431,0.432,2951600,1274252.00
2023/07/14,1445,0.432,0.432,0.431,0.432,4299300,1856124.00
2023/07/14,1450,0.432,0.432,0.431,0.432,8766400,3783509.00
2023/07/14,1455,0.432,0.432,0.431,0.432,12731700,5495966.00
2023/07/14,1500,0.432,0.432,0.431,0.431,35344600,15253761.00
2023/07/17,0935,0.430,0.431,0.426,0.427,172100400,73714696.00
2023/07/17,0940,0.428,0.428,0.426,0.428,49328400,21060784.00
2023/07/17,0945,0.427,0.428,0.426,0.426,20535200,8764435.00
2023/07/17,0950,0.427,0.427,0.426,0.427,11730300,5002049.00
2023/07/17,0955,0.427,0.427,0.426,0.427,15724500,6712721.00
2023/07/17,1000,0.427,0.427,0.426,0.427,7852300,3348043.00
2023/07/17,1005,0.427,0.427,0.426,0.426,33162500,14129653.00
2023/07/17,1010,0.426,0.427,0.426,0.427,23396700,9984422.00
2023/07/17,1015,0.427,0.427,0.426,0.427,9288600,3965748.00
2023/07/17,1020,0.427,0.427,0.426,0.426,5520600,2355750.00
2023/07/17,1025,0.427,0.427,0.426,0.427,3543600,1512076.00
2023/07/17,1030,0.426,0.427,0.426,0.426,4754600,2028911.00
2023/07/17,1035,0.427,0.427,0.426,0.427,10112800,4317498.00
2023/07/17,1040,0.427,0.427,0.426,0.427,2531300,1079832.00
2023/07/17,1045,0.427,0.427,0.426,0.427,2458800,1048977.00
2023/07/17,1050,0.427,0.427,0.426,0.427,3474800,1481255.00
2023/07/17,1055,0.427,0.427,0.426,0.426,1775400,757044.00
2023/07/17,1100,0.427,0.427,0.426,0.427,3118800,1329822.00
2023/07/17,1105,0.427,0.427,0.426,0.427,7980500,3400631.00
2023/07/17,1110,0.427,0.427,0.426,0.427,4747200,2026634.00
2023/07/17,1115,0.427,0.427,0.426,0.427,1380300,589141.00
2023/07/17,1120,0.427,0.427,0.426,0.427,1264800,539742.00
2023/07/17,1125,0.427,0.427,0.426,0.426,2494800,1063435.00
2023/07/17,1130,0.427,0.427,0.426,0.427,6387200,2722603.00
2023/07/17,1305,0.427,0.427,0.426,0.426,48716400,20757420.00
2023/07/17,1310,0.427,0.427,0.426,0.427,2450700,1044520.00
2023/07/17,1315,0.426,0.427,0.426,0.427,1026400,437941.00
2023/07/17,1320,0.426,0.427,0.426,0.427,2664400,1135660.00
2023/07/17,1325,0.427,0.427,0.426,0.427,1938300,826227.00
2023/07/17,1330,0.427,0.427,0.426,0.426,1869300,796959.00
2023/07/17,1335,0.427,0.427,0.426,0.426,2246900,957940.00
2023/07/17,1340,0.427,0.427,0.426,0.426,1917600,817739.00
2023/07/17,1345,0.427,0.427,0.426,0.426,2997600,1277677.00
2023/07/17,1350,0.426,0.427,0.426,0.427,3752200,1600735.00
2023/07/17,1355,0.427,0.427,0.426,0.427,2093400,893386.00
2023/07/17,1400,0.427,0.427,0.426,0.427,1671600,713475.00
2023/07/17,1405,0.427,0.427,0.426,0.427,9501400,4055693.00
2023/07/17,1410,0.427,0.427,0.426,0.427,3175700,1354154.00
2023/07/17,1415,0.427,0.427,0.426,0.427,79937300,34058536.00
2023/07/17,1420,0.427,0.427,0.426,0.426,1572700,670841.00
2023/07/17,1425,0.427,0.427,0.426,0.427,1247100,531920.00
2023/07/17,1430,0.427,0.427,0.426,0.427,1159900,494800.00
2023/07/17,1435,0.427,0.427,0.426,0.426,11783600,5030200.00
2023/07/17,1440,0.427,0.427,0.426,0.427,2926100,1248799.00
2023/07/17,1445,0.427,0.427,0.426,0.426,6163200,2630381.00
2023/07/17,1450,0.427,0.428,0.426,0.427,106978300,45681284.00
2023/07/17,1455,0.428,0.428,0.427,0.427,9909700,4239842.00
2023/07/17,1500,0.427,0.428,0.426,0.427,75946400,32442420.00
2023/07/18,0935,0.428,0.429,0.427,0.428,32409800,13865138.00
2023/07/18,0940,0.428,0.428,0.426,0.427,34280500,14639571.00
2023/07/18,0945,0.427,0.427,0.426,0.427,5994300,2558557.00
2023/07/18,0950,0.427,0.427,0.426,0.427,1909200,814206.00
